message,label
Can you send me the notes from today's meeting when you get a chance?,ham
Let's catch up over coffee this weekend if you're free.,ham
"Great job on the presentation yesterday, the client was impressed.",ham
Congratulations! You have WON a $100 prize. Click here to claim now!!!,spam
The flight itinerary for your trip next month has been confirmed.,ham
Your loan of $100 has been approved. Reply YES to receive funds instantly.,spam
The flight itinerary for your trip next month has been confirmed.,ham
"Great job on the presentation yesterday, the client was impressed.",ham
Don't forget to submit your timesheet before end of day Friday.,ham
"Great job on the presentation yesterday, the client was impressed.",ham
Make money fast!!! Invest $5000 today and double it in 24 hours guaranteed.,spam
"Act now! Your credit card has been charged $500, click to dispute immediately.",spam
"Act now! Your credit card has been charged $100, click to dispute immediately.",spam
"The quarterly sales figures are attached, let me know if you have questions.",ham
Please find attached the report for last quarter as discussed.,ham
You have been selected for a special cash reward of $750. Claim before it expires!,spam
Happy birthday! Hope you have a wonderful day with family and friends.,ham
The flight itinerary for your trip next month has been confirmed.,ham
Please find attached the report for last quarter as discussed.,ham
"Lowest price guaranteed on Viagra and other meds, order now with 50% off!!!",spam
FREE FREE FREE! Click this link to unlock exclusive bonus cash prize today.,spam
"Thanks for your help with the project, really appreciate it.",ham
"FREE entry to win a brand new iPhone, text WIN to 12345 now!",spam
"Lowest price guaranteed on Viagra and other meds, order now with 50% off!!!",spam
"I reviewed the document and left a few comments, please check.",ham
You have been selected for a special cash reward of $5000. Claim before it expires!,spam
"Limited time offer!!! Buy one get one FREE, discount code SAVE750 inside.",spam
Please find attached the report for last quarter as discussed.,ham
Can you send me the notes from today's meeting when you get a chance?,ham
Congratulations! You have WON a $100 prize. Click here to claim now!!!,spam
Your loan of $100 has been approved. Reply YES to receive funds instantly.,spam
You have been selected for a special cash reward of $250. Claim before it expires!,spam
Congratulations winner! Claim your free vacation package to Bahamas now.,spam
Please review the attached invoice and let me know if it looks correct.,ham
"Hey, are we still meeting for lunch tomorrow at noon?",ham
Let's catch up over coffee this weekend if you're free.,ham
"Hot singles in your area want to meet you tonight, click here now!",spam
Can you send me the notes from today's meeting when you get a chance?,ham
Can you send me the notes from today's meeting when you get a chance?,ham
The flight itinerary for your trip next month has been confirmed.,ham
Happy birthday! Hope you have a wonderful day with family and friends.,ham
"FREE entry to win a brand new iPhone, text WIN to 12345 now!",spam
"Dear winner, you have been chosen to receive $500 inheritance, contact us now.",spam
"Hey, are we still meeting for lunch tomorrow at noon?",ham
"Lowest price guaranteed on Viagra and other meds, order now with 50% off!!!",spam
